NRG all file names,RG all filenames
TRAIN000000,TRAIN000034
TRAIN000001,TRAIN000060
TRAIN000002,TRAIN000068
TRAIN000003,TRAIN000100
TRAIN000004,TRAIN000106
TRAIN000005,TRAIN000122
TRAIN000006,TRAIN000127
TRAIN000007,TRAIN000140
TRAIN000008,TRAIN000188
TRAIN000009,TRAIN000195
TRAIN000010,TRAIN000225
TRAIN000011,TRAIN000285
TRAIN000012,TRAIN000329
TRAIN000013,TRAIN000344
TRAIN000014,TRAIN000348
TRAIN000015,TRAIN000362
TRAIN000016,TRAIN000373
TRAIN000017,TRAIN000392
TRAIN000018,TRAIN000421
TRAIN000019,TRAIN000429
TRAIN000020,TRAIN000465
TRAIN000021,TRAIN000498
TRAIN000022,TRAIN000521
TRAIN000023,TRAIN000522
TRAIN000024,TRAIN000542
TRAIN000025,TRAIN000598
TRAIN000026,TRAIN000603
TRAIN000027,TRAIN000625
TRAIN000028,TRAIN000646
TRAIN000029,TRAIN000660
TRAIN000030,TRAIN000701
TRAIN000031,TRAIN000728
TRAIN000032,TRAIN000744
TRAIN000033,TRAIN000773
TRAIN000035,TRAIN000783
TRAIN000036,TRAIN000789
TRAIN000037,TRAIN000823
TRAIN000038,TRAIN000864
TRAIN000039,TRAIN000924
TRAIN000040,TRAIN000932
TRAIN000041,TRAIN000983
TRAIN000042,TRAIN001028
TRAIN000043,TRAIN001115
TRAIN000044,TRAIN001118
TRAIN000045,TRAIN001147
TRAIN000046,TRAIN001212
TRAIN000047,TRAIN001225
TRAIN000048,TRAIN001230
TRAIN000049,TRAIN001356
TRAIN000050,TRAIN001393
TRAIN000051,TRAIN001415
TRAIN000052,TRAIN001481
TRAIN000053,TRAIN001497
TRAIN000054,TRAIN001598
TRAIN000055,TRAIN001609
TRAIN000056,TRAIN001615
TRAIN000057,TRAIN001629
TRAIN000058,TRAIN001631
TRAIN000059,TRAIN001638
TRAIN000061,TRAIN001695
TRAIN000062,TRAIN001720
TRAIN000063,TRAIN001741
TRAIN000064,TRAIN001779
TRAIN000065,TRAIN001784
TRAIN000066,TRAIN001797
TRAIN000067,TRAIN001800
TRAIN000069,TRAIN001836
TRAIN000070,TRAIN001864
TRAIN000071,TRAIN001889
TRAIN000072,TRAIN001939
TRAIN000073,TRAIN001956
TRAIN000074,TRAIN001984
TRAIN000075,TRAIN002055
TRAIN000076,TRAIN002066
TRAIN000077,TRAIN002070
TRAIN000078,TRAIN002110
TRAIN000079,TRAIN002127
TRAIN000080,TRAIN002155
TRAIN000081,TRAIN002229
TRAIN000082,TRAIN002238
TRAIN000083,TRAIN002269
TRAIN000084,TRAIN002318
TRAIN000085,TRAIN002336
TRAIN000086,TRAIN002360
TRAIN000087,TRAIN002393
TRAIN000088,TRAIN002415
TRAIN000089,TRAIN002417
TRAIN000090,TRAIN002426
TRAIN000091,TRAIN002461
TRAIN000092,TRAIN002494
TRAIN000093,TRAIN002547
TRAIN000094,TRAIN002568
TRAIN000095,TRAIN002653
TRAIN000096,TRAIN002686
TRAIN000097,TRAIN002709
TRAIN000098,TRAIN002719
TRAIN000099,TRAIN002720
TRAIN000101,TRAIN002749
TRAIN000102,TRAIN002895
TRAIN000103,TRAIN003061
TRAIN000104,TRAIN003072
TRAIN000105,TRAIN003097
TRAIN000107,TRAIN003117
TRAIN000108,TRAIN003163
TRAIN000109,TRAIN003179
TRAIN000110,TRAIN003189
TRAIN000111,TRAIN003209
TRAIN000112,TRAIN003353
TRAIN000113,TRAIN003393
TRAIN000114,TRAIN003443
TRAIN000115,TRAIN003489
TRAIN000116,TRAIN003508
TRAIN000117,TRAIN003510
TRAIN000118,TRAIN003530
TRAIN000119,TRAIN003551
TRAIN000120,TRAIN003561
TRAIN000121,TRAIN003587
TRAIN000123,TRAIN003624
TRAIN000124,TRAIN003635
TRAIN000125,TRAIN003669
TRAIN000126,TRAIN003678
TRAIN000128,TRAIN003686
TRAIN000129,TRAIN003785
TRAIN000130,TRAIN003790
TRAIN000131,TRAIN003837
TRAIN000132,TRAIN003847
TRAIN000133,TRAIN003848
TRAIN000134,TRAIN003853
TRAIN000135,TRAIN003878
TRAIN000136,TRAIN003923
TRAIN000137,TRAIN004057
TRAIN000138,TRAIN004073
TRAIN000139,TRAIN004075
TRAIN000141,TRAIN004086
TRAIN000142,TRAIN004094
TRAIN000143,TRAIN004121
TRAIN000144,TRAIN004127
TRAIN000145,TRAIN004270
TRAIN000146,TRAIN004276
TRAIN000147,TRAIN004309
TRAIN000148,TRAIN004314
TRAIN000149,TRAIN004393
TRAIN000150,TRAIN004414
TRAIN000151,TRAIN004434
TRAIN000152,TRAIN004510
TRAIN000153,TRAIN004550
TRAIN000154,TRAIN004554
TRAIN000155,TRAIN004609
TRAIN000156,TRAIN004615
TRAIN000157,TRAIN004620
TRAIN000158,TRAIN004695
TRAIN000159,TRAIN004733
TRAIN000160,TRAIN004772
TRAIN000161,TRAIN004811
TRAIN000162,TRAIN004817
TRAIN000163,TRAIN004829
TRAIN000164,TRAIN004853
TRAIN000165,TRAIN004884
TRAIN000166,TRAIN004888
TRAIN000167,TRAIN004900
TRAIN000168,TRAIN004916
TRAIN000169,TRAIN004946
TRAIN000170,TRAIN004994
TRAIN000171,TRAIN005087
TRAIN000172,TRAIN005106
TRAIN000173,TRAIN005125
